id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_lab,jumlah_lab,satuan,tahun
197,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUSAK RINGAN,6,UNIT,2018/2019
198,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUSAK SEDANG,0,UNIT,2018/2019
199,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUSAK BERAT,0,UNIT,2018/2019
200,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUSAK TOTAL,0,UNIT,2018/2019
201,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BAIK,2,UNIT,2018/2019
202,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUSAK RINGAN,0,UNIT,2018/2019
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUSAK SEDANG,0,UNIT,2018/2019
204,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUSAK BERAT,0,UNIT,2018/2019
205,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUSAK TOTAL,0,UNIT,2018/2019
206,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BAIK,1,UNIT,2018/2019
207,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUSAK RINGAN,2,UNIT,2018/2019
208,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUSAK SEDANG,0,UNIT,2018/2019
209,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUSAK BERAT,0,UNIT,2018/2019
210,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUSAK TOTAL,0,UNIT,2018/2019
211,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAIK,9,UNIT,2018/2019
212,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUSAK RINGAN,5,UNIT,2018/2019
213,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUSAK SEDANG,0,UNIT,2018/2019
214,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUSAK BERAT,0,UNIT,2018/2019
215,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUSAK TOTAL,0,UNIT,2018/2019
216,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BAIK,2,UNIT,2018/2019
217,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUSAK RINGAN,4,UNIT,2018/2019
218,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUSAK SEDANG,0,UNIT,2018/2019
